id,category,title,organization,source_url,local_path,pages,bytes,sha256
1,material,Materials Data Handbook - Aluminum Alloy 2014,NASA,https://ntrs.nasa.gov/api/citations/19720023885/downloads/19720023885.pdf,raw/material/01_nasa_materials_aluminum_2014.pdf,136,5508810,989e0f7cbdfb4c7e3e57eb4b2a0c3376b25f22620c6379c70828d719d8a81773
2,material,Materials Data Handbook - Titanium 6Al-4V,NASA,https://ntrs.nasa.gov/api/citations/19720022814/downloads/19720022814.pdf,raw/material/02_nasa_materials_titanium_6al_4v_full_handbook.pdf,122,4768909,c0fdfc9cbdbe452702f5034997070eb53ae518452536d82be2cadb049aee1191
3,material,Materials Data Handbook - Aluminum Alloy 5456,NASA,https://ntrs.nasa.gov/api/citations/19720022807/downloads/19720022807.pdf,raw/material/03_nasa_materials_aluminum_5456.pdf,102,6440971,06c0b57da31fa73d62dc19b7f7193d43345e23d21600f0dfde96289b262f820b
4,material,Materials Data Handbook - Aluminum Alloy 6061,NASA,https://ntrs.nasa.gov/api/citations/19720022808/downloads/19720022808.pdf,raw/material/04_nasa_materials_aluminum_6061.pdf,112,6200363,2d85000ee9ea72c4cc25821c142c118097c96462d779c4c13526cbb63ca47bb7
5,material,Materials Data Handbook - Aluminum Alloy 7075,NASA,https://ntrs.nasa.gov/api/citations/19720022809/downloads/19720022809.pdf,raw/material/05_nasa_materials_aluminum_7075.pdf,141,7631601,ad60f5450b30a7935f7f9635f87166d7dd54ee9f042f3c953b2cc5d7635b58b1
6,material,Materials Data Handbook - Nickel-Base Alloy 718,NASA,https://ntrs.nasa.gov/api/citations/19720022810/downloads/19720022810.pdf,raw/material/06_nasa_materials_inconel_718.pdf,113,6280406,f0457baec45c36cda794e860157b5abe69adcb9ae3206ecd57145761c9e5b9db
7,material,Materials Data Handbook - Stainless Steel 301,NASA,https://ntrs.nasa.gov/api/citations/19720022812/downloads/19720022812.pdf,raw/material/07_nasa_materials_stainless_301.pdf,112,4529029,49a33c019f0caedc2a872ad78b7055693280fc60b937c909949a3925dbc0579e
8,material,Materials Data Handbook - Stainless Steel A-286,NASA,https://ntrs.nasa.gov/api/citations/19720022813/downloads/19720022813.pdf,raw/material/08_nasa_materials_stainless_a286.pdf,108,4412063,c158fde56a16124cfda2d3a6e421df603beedba3dd9a8909460456e398984f6d
9,machining,Programs of the Manufacturing Engineering Laboratory 2005,NIST,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7218.pdf,raw/machining/09_nist_smart_machining_systems_nistir7218.pdf,187,2240849,ea9494477b605074eb584ea11c8701d41b582e6e381521a7e27f98428c9c1897
10,machining,A Machining and Measurement Process Planning Activity Model for Manufacturing System Interoperability Analysis,NIST,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nistir7734.pdf,raw/machining/10_nistir7734_machining_measurement_process_planning.pdf,56,3746269,01442a27e5af0ad178d888181bd00848e67fb3abe49a9284c80b1e0af48878bb
11,machining,Machine Tools and Fixtures - A Compilation,NASA,https://ntrs.nasa.gov/api/citations/19740022851/downloads/19740022851.pdf,raw/machining/11_nasa_machine_tools_fixtures_1974.pdf,28,4525006,e863124972df3ebdafb4b9c8f5fdbc67d37d491c0da1a3011c6bab01db42e12d
12,machining,An Investigation of Chatter and Tool Wear When Machining Titanium,NASA,https://ntrs.nasa.gov/api/citations/19740010017/downloads/19740010017.pdf,raw/machining/12_nasa_machining_titanium_chatter_tool_wear.pdf,75,2188401,45802e731a08e096420e320ebee00e15c082a2960664b2f499ec1295860c9b9d
13,joining,NASA-STD-5006A - General Welding Requirements for Aerospace Materials,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/w/CHANGE-2/2/2021-11-18-NASA-STD-5006A-w-Chg-2-Reval-Final.pdf,raw/joining/13_nasa_std_5006a_welding_requirements.pdf,48,690195,fa229965758a0f0c630034084173341e2a0053a1ca25d35a15b6d14e9b8e5c20
14,joining,NASA-STD-8739.4A - Crimping Interconnecting Cables Harnesses and Wiring,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/A/4/nasa-std-87394a_w_change_4_0.pdf,raw/joining/14_nasa_std_8739_4a_crimp_wiring.pdf,113,3394627,83d2038895dfb4e1ac18fd314ae444ff5fea56e7cc2723649ee3aa8388ecc27d
15,joining,NASA-STD-4003A - Electrical Bonding for NASA Launch Vehicles Spacecraft Payloads and Flight Equipment,NASA,https://standards.nasa.gov/system/files/tmp/NASA-STD-4003A_w-Change%201%20-%20Revalidated%2003-13-2026.pdf,raw/joining/15_nasa_std_4003a_electrical_bonding.pdf,47,730667,5c5271413bd05f611828e1d5c0eb78c986e32c8df13e864955694e363dc4b14b
16,joining,NASA-STD-8739.1B - Workmanship Standard for Polymeric Application on Electronic Assemblies,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/B/2/nasa-std-87391B-Change-2.pdf,raw/joining/16_nasa_std_8739_1b_polymeric_bonding.pdf,53,2257008,b2fad7832271f2a36ff316e40f0c4d5fb66719624bbdd58cf07dd6a329a02f20
17,manufacturing_guidelines,NASA-STD-6016C - Standard Materials and Processes Requirements for Spacecraft,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/C-w/Change-1/1/2023-11-15-NASA-STD-6016C-w-Chg-1-Final_0.pdf,raw/manufacturing_guidelines/17_nasa_std_6016c_materials_processes.pdf,157,1648973,f3e393e5ff10013949fc2c16933b985e5224a483ef6b8a456005c78d9b7e7668
18,manufacturing_guidelines,NASA-STD-6030 - Additive Manufacturing Requirements for Spaceflight Systems,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/Baseline/0/2021-04-21_nasa-std-6030-approveddocx.pdf,raw/manufacturing_guidelines/18_nasa_std_6030_additive_manufacturing_systems.pdf,190,3317520,5246d3b992ac0cc7a7deadb4c3c10284444add7d7e055968ae011d671d5a96cd
19,manufacturing_guidelines,NASA-STD-6033 - Additive Manufacturing Equipment and Facility Control,NASA,https://standards.nasa.gov/system/files/tmp/2026-01-071%20NASA-STD-6033%20-%20Final%20revalidated.pdf,raw/manufacturing_guidelines/19_nasa_std_6033_am_equipment_facility.pdf,45,772669,7e4c13bcf106152043ec169025a1a81d671c388269c4ce3e144e01a9f0435050
20,manufacturing_guidelines,NASA-STD-5017B - Design and Development Requirements for Mechanisms,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/B//2022-12-06-NASA-STD-5017B-Approved.pdf,raw/manufacturing_guidelines/20_nasa_std_5017b_mechanisms.pdf,117,1264015,9fc0210ae0ecc656f8ceadf7b6a5243b3760db0b805e55b3b3e6d1a634866ac4
21,quality_inspection,NASA-STD-5009C - Nondestructive Evaluation Requirements for Fracture-Critical Metallic Components,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/C/0/2023-08-03-NASA-STD-5009C-Approved.pdf,raw/quality_inspection/21_nasa_std_5009c_nde.pdf,54,767160,9ecc604979b627f584fe0e04348d1ff3cd654e68d00b2326859f5ed1e9c862f2
22,quality_inspection,NASA-STD-8739.12A - Metrology and Calibration,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/Revision/0/NASA-STD-873912A.pdf,raw/quality_inspection/22_nasa_std_8739_12a_metrology_calibration.pdf,12,316579,d36a7408a908f89d2b95ecb6fdfd41fb1aa2c511683d9a6ad4473d1c6a66740d
23,quality_inspection,NASA-HDBK-8739.19-2 - Measuring and Test Equipment Specifications,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/Baseline/0/nasa-nhbk-873919-2.pdf,raw/quality_inspection/23_nasa_hdbk_8739_19_2_mte_specifications.pdf,181,2028675,c76fbb6d954f8a894853f7a315fe26323ae5e8d6bac4289f733dec8d49b1baf4
24,quality_inspection,NASA-HDBK-8739.19-3 - Measurement Uncertainty Analysis Principles and Methods,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/Baseline/0/nasa-hdbk-873919-3.pdf,raw/quality_inspection/24_nasa_hdbk_8739_19_3_measurement_uncertainty.pdf,277,3194051,61c083e859082cf80c76426b04a77ab12c8d62f2f013e2a114da019db35a8cdc
